name1,name2,is_match,cosine_sim,sbert_sim,jaro_sim,levenshtein,first_letter_match,len_diff,soundex_match,metaphone_match,token_set_ratio,lcs,jaccard,ngram_overlap,predicted_match
udbhav bansal,buddh ram,0,0.026381921,0.3481512,0.598290598,9,0,4,0,0,0.45,2,0,0,0
manazir hasnain,manowar ahasan,0,0.08906788,0.38582087,0.845353535,6,1,1,0,0,0.76,3,0,0.086956522,0
srijan shukla surgical oncologist,bhubaneswar sukla,0,0.135437239,0.3256056,0.591343297,26,0,16,0,0,0.36,4,0,0.069767442,0
avijit mondal,abhijit roy mondal,0,0.548768432,0.58395153,0.851923077,6,1,5,1,0,0.77,7,0.25,0.421052632,0
g dsharma,g d sharma,1,0.584208076,0.47108477,0.976666667,1,1,1,1,0,0.95,6,0.25,0.5,1
v k rajoria,v k ramteke,0,0.093098906,0.5276035,0.696969697,5,1,0,0,0,0.55,6,0.5,0.285714286,0
ramya arul,c arul,0,0.637751376,0.5810477,0.711111111,5,0,4,0,0,0.8,5,0.333333333,0.333333333,0
venu bhargava mulpuri surgical gastroenterologist,m venu bhargava,0,0.431078074,0.6487438,0.613151927,38,0,34,0,0,0.93,13,0.333333333,0.224489796,0
gupta k,sanjay gupta,0,0.663993692,0.73264354,0.484126984,9,0,5,0,0,0.83,5,0.333333333,0.25,1
pavan kumar sachan,jitendra sachan,0,0.386671255,0.67498815,0.607407407,9,0,3,0,0,0.57,7,0.25,0.208333333,0
u shirisha,arish,0,0.223892649,0.2756763,0.566666667,6,0,5,0,0,0.53,4,0,0.222222222,0
hareesh reddy kaserla general surgeon,arish,0,0.028114646,0.16833626,0.469369369,33,0,32,0,0,0.19,2,0,0,0
nikhil narain,nikhil khantal,0,0.546155652,0.6038427,0.876703297,6,1,1,0,0,0.67,7,0.333333333,0.277777778,0
rishikesh kumar,rushikesh x,0,0.53441321,0.27620345,0.792121212,6,1,4,1,0,0.62,8,0,0.375,0
vinit kumar srivastava,s srivastava,0,0.73027143,0.72739124,0.684343434,11,0,10,0,0,0.91,11,0.25,0.428571429,1
roop kumar gurshani,r gurumukhi,0,0.157890124,0.5983223,0.689881269,12,1,8,0,0,0.47,5,0,0.130434783,0
nawal yadav,t n yadav,0,0.646079073,0.70887536,0.661856662,5,0,2,0,0,0.71,6,0.25,0.333333333,0
raju murudkar,r gurumukhi,0,0.089987468,0.49380606,0.697552448,8,1,2,0,0,0.5,3,0,0.052631579,0
d n yadav,t n yadav,0,0.899304916,0.8982842,0.925925926,1,0,0,0,1,0.89,8,0.5,0.75,0
rinal modi,narendra modi,0,0.450162355,0.6946726,0.680128205,6,0,3,0,0,0.7,5,0.333333333,0.1875,0
dheren mondal,dheerain mandal,0,0.33380732,0.4258819,0.857606838,4,1,2,1,1,0.79,4,0,0.2,0
mohan,ve manohar,0,0.159730795,0.33149856,0.633333333,6,0,5,0,0,0.53,3,0,0.1,0
ranendra chaudhry,nasrun chowdhury,0,0.076610538,0.48916578,0.70751634,10,0,1,0,0,0.55,3,0,0.035714286,0
nikhil yadav,nikhil khantal,0,0.555795126,0.6242782,0.878571429,5,1,2,0,0,0.69,7,0.333333333,0.294117647,0
bipin chandra pal urologist,c pal,0,0.255239396,0.2149153,0.661728395,22,0,22,0,0,0.75,4,0.2,0.076923077,0
anubha jain,anubha soni,0,0.646621726,0.5794903,0.905050505,4,1,0,1,0,0.73,7,0.333333333,0.384615385,0
sujith kannan,a sujith,0,0.755380097,0.68202215,0.661630037,9,0,5,0,0,0.86,6,0.333333333,0.307692308,1
rajshree murudkar,r gurumukhi,0,0.072312549,0.47040516,0.607620321,12,1,6,1,0,0.43,3,0,0.043478261,0
ashok kumar malviya,a k malviya,0,0.776435994,0.58892596,0.737320574,8,1,8,0,0,0.78,8,0.2,0.3,0
surjith kamath,a sujith,0,0.349697504,0.53205633,0.648809524,10,0,6,0,0,0.73,4,0,0.125,0
pushparaj s karmarkar,t s pushpa raj,0,0.554779115,0.5488751,0.642857143,15,0,7,0,0,0.63,6,0.166666667,0.25,0
pramatha nath datta,p n dutta,1,0.195464186,0.5342449,0.549707602,11,1,10,0,0,0.57,3,0,0.045454545,0
pramatha nath datta general surgeon,p n dutta,1,0.133163892,0.43085134,0.622486772,27,1,26,0,0,0.36,3,0,0.026315789,0
rajan madan,dheerain mandal,0,0.076644315,0.34081706,0.769023569,8,0,4,0,0,0.46,4,0,0.1,0
devajit choudhury,d dev,0,0.230640802,0.43961197,0.595098039,14,1,12,0,0,0.45,3,0,0.058823529,0
raman sharma,moonish sharma,0,0.398337772,0.64906335,0.760582011,7,0,2,0,0,0.69,7,0.333333333,0.294117647,0
pramatha nath datta,p n dutta,0,0.195464186,0.5342449,0.549707602,11,1,10,0,0,0.57,3,0,0.045454545,0
g v praveen kumar,praveenkumar s,0,0.647971417,0.5890256,0.769553975,7,0,3,0,0,0.52,7,0,0.421052632,0
arup kanti deb,d dev,0,0.099438999,0.2022839,0.423809524,11,0,9,0,0,0.32,3,0,0.071428571,0
subhajit malakar,subhojit nath,0,0.295579033,0.58040905,0.67752849,7,1,3,1,0,0.62,4,0,0.19047619,0
tamonas chaudhuri,nasrun chowdhury,0,0.154843559,0.43450868,0.763071895,9,0,1,0,0,0.61,4,0,0.16,0
santanu chaudhuri general surgeon,nasrun chowdhury,0,0.096698287,0.4040798,0.632915695,24,0,17,0,0,0.49,4,0,0.071428571,0
mansuri hamid ushmanbhai,hameed mansoori,0,0.210670444,0.4929158,0.579040404,17,0,9,0,0,0.56,4,0,0.096774194,0
sambit tripathy,sambit kar,0,0.660613661,0.61709595,0.877777778,7,1,5,1,0,0.75,7,0.333333333,0.3125,0
rais ansari,mazavi ansari,0,0.426009291,0.6325424,0.725718726,5,0,2,0,0,0.75,7,0.333333333,0.333333333,0
aftab ansari,mazavi ansari,0,0.363691997,0.60087,0.814102564,5,0,1,0,0,0.72,7,0.333333333,0.3125,0
pradeep reddy v,pradeep m,0,0.717947181,0.48923928,0.884444444,7,1,6,1,0,0.88,8,0.25,0.428571429,0
prashant kumar,prashant meena,0,0.614766999,0.5935345,0.914285714,5,1,0,1,0,0.79,9,0.333333333,0.411764706,0
alind kishore,m s ain,0,0.027104375,0.19662516,0.45970696,11,0,6,0,0,0.5,2,0,0,0
kishore reddy juturu,k v subba,0,0.005794026,0.22456172,0.383333333,16,1,11,0,0,0.21,1,0,0,0
s anwar basha general surgeon,masthan bhasa p,0,0.034028933,0.22371212,0.613305468,22,0,14,0,0,0.41,2,0,0,0
sudhansu sekhar sutar,s sutar,0,0.593284236,0.53605807,0.603174603,14,1,14,0,0,0.83,6,0.25,0.2,0
satyendra kaushik,s sutar,0,0.008322103,0.28968766,0.518907563,14,1,10,0,0,0.42,1,0,0,0
navaneetha krishnan srinivasan,g p navaneethan,0,0.587701026,0.62436616,0.594444444,23,0,15,0,0,0.53,10,0,0.242424242,0
anwar basha,masthan bhasa p,0,0.05294093,0.28257236,0.694949495,9,0,4,0,0,0.54,2,0,0,0
chhajer,k s chajjar,0,0.118361814,0.43592542,0.722943723,7,0,4,0,0,0.56,3,0,0.076923077,0
oindrila biswas,r s biswas,0,0.52744278,0.5882979,0.652777778,7,0,5,0,0,0.75,7,0.25,0.3125,0
