name1,name2,is_match,cosine_sim,sbert_sim,jaro_sim,levenshtein,first_letter_match,len_diff,soundex_match,metaphone_match,token_set_ratio,lcs,jaccard,ngram_overlap,predicted_match
deepti jai thakkar,thyagaraja l s,0,0.064081114,0.39326733,0.486772487,16,0,4,0,0,0.44,2,0,0,0
alok kr khan,alok jana,0,0.609970783,0.57108223,0.872222222,6,1,3,1,0,0.67,5,0.25,0.214285714,0
rajasekhar reddy,thyagaraja l s,0,0.096914205,0.3503207,0.550595238,14,0,2,0,0,0.27,4,0,0.083333333,0
alok khan,alok jana,0,0.64873901,0.55984724,0.911111111,3,1,0,1,0,0.78,5,0.333333333,0.272727273,0
abhinav kumar,abhinav xxx,0,0.593935782,0.5626879,0.868531469,5,1,2,1,0,0.78,8,0.333333333,0.428571429,0
abhinav sengar,abhinav xxx,0,0.488338791,0.5927474,0.85974026,6,1,3,1,0,0.78,8,0.333333333,0.4,0
deepti thakkar,thyagaraja l s,0,0.059403489,0.34399047,0.44047619,13,0,0,0,0,0.43,2,0,0,0
jaiprakash gurawalia,jai prakash garg,0,0.364909111,0.6469971,0.8175,8,1,4,1,0,0.72,9,0,0.333333333,0
farrington ranee,f ranee,0,0.421895809,0.48526916,0.523809524,9,1,9,0,0,0.83,6,0.333333333,0.266666667,0
s nithyaraj prakasam,nithya raj,0,0.575583495,0.62355864,0.733333333,11,0,10,0,0,0.6,6,0,0.238095238,0
diwakar gaddi,someshwar f gaddi,0,0.449439976,0.61946213,0.740573152,9,0,4,0,0,0.6,6,0.25,0.238095238,0
shamsudeen m,k shamsudheen,1,0.671077662,0.605512,0.867521368,5,0,1,0,0,0.88,7,0,0.4,1
rownaq rasool,rasool,0,0.625548415,0.55894065,0.465811966,7,1,7,0,0,1,6,0.5,0.363636364,0
shiva nalubola,nalubola saketh,0,0.703597414,0.7075771,0.66031746,13,0,1,0,0,0.76,8,0.333333333,0.315789474,0
rakesh vakil,rakesh singh,0,0.51244757,0.6095878,0.866666667,5,1,0,0,0,0.67,7,0.333333333,0.333333333,0
galla murali mohan,md badruddin,0,0.014539181,0.04542765,0.562169312,14,0,6,0,0,0.27,1,0,0,0
rajat kumar patra,s k patra,0,0.597541047,0.5646326,0.562091503,9,0,8,0,0,0.71,6,0.2,0.222222222,0
usha devi r s anaesthisiologist doctor in trivandrum,m usha devi,0,0.347637599,0.43147224,0.533799534,45,0,41,0,0,0.9,9,0.222222222,0.134615385,0
suvendu maji,santanu maji,0,0.347429228,0.6534947,0.694444444,5,1,0,0,0,0.67,6,0.333333333,0.25,0
tryeshwanth,t r yeshwanth,1,0.642816054,0.49840266,0.953846154,2,1,2,1,0,0.83,9,0,0.538461538,1
rohit choubey,rohit ks,0,0.486710766,0.58616734,0.842307692,7,1,5,0,0,0.77,6,0.333333333,0.307692308,0
rohit namdev,rohit ks,0,0.494034429,0.55319595,0.85,6,1,4,0,0,0.77,6,0.333333333,0.333333333,0
kaleem usmanai,m d kaleem,0,0.592107072,0.7061882,0.66547619,12,0,4,0,0,0.75,6,0.25,0.25,0
chandrashekhar kerudi,s kerudi,0,0.696202712,0.6396475,0.487698413,13,0,13,0,0,0.86,7,0.333333333,0.25,0
vidyanand raut,anish raut,0,0.47946983,0.5334328,0.66547619,7,0,4,0,0,0.58,5,0.333333333,0.176470588,0
chandramouli m s,chandra moorthi n,0,0.282902251,0.6356531,0.857843137,7,1,1,1,0,0.67,7,0,0.208333333,0
sheerin shah,shefin,0,0.170221105,0.23949316,0.825,7,1,6,0,0,0.56,3,0,0.076923077,0
sheerin shah kathpal,shefin,0,0.124369011,0.22667041,0.694444444,15,1,14,0,0,0.38,3,0,0.047619048,0
k s sunoj,kpj solomon,0,0.030754482,0.456349,0.603367003,7,1,2,0,0,0.4,2,0,0,0
shailendra kumar,shailender x,0,0.664988367,0.49766812,0.891666667,7,1,4,1,0,0.64,8,0,0.333333333,0
vishwa jha,bhuwan jee jha,0,0.377649718,0.5812707,0.733333333,9,0,4,0,0,0.58,4,0.25,0.111111111,0
nidhi agnish,agnishikha,0,0.556608429,0.627758,0.644444444,10,0,2,0,0,0.73,6,0,0.285714286,0
imtiaz ahmed,imtiaz beg,0,0.721674152,0.58345443,0.893333333,4,1,2,1,0,0.75,7,0.333333333,0.384615385,0
agnish rajesh,agnishikha,0,0.579208231,0.696528,0.858076923,7,1,3,1,0,0.61,6,0,0.266666667,0
om prakash l gogia,omprakash inani,0,0.351435772,0.46857443,0.768888889,7,1,3,1,0,0.73,8,0,0.260869565,0
suresh reddy g,suresh ib,0,0.542582939,0.4199946,0.855555556,7,1,5,0,0,0.8,7,0.25,0.357142857,0
mohammad hayat,mohd hayat,1,0.646138652,0.63882285,0.863333333,4,1,4,0,0,0.83,7,0.333333333,0.428571429,1
g suresh chandra hari,suresh ib,0,0.475408772,0.32383132,0.560846561,14,0,12,0,0,0.8,7,0.2,0.238095238,0
nolakha ram narayan,r n noulakha,0,0.376163233,0.53979826,0.680356194,16,0,7,0,0,0.71,5,0,0.125,0
shailender kumar jain,shailender x,0,0.782358456,0.4410912,0.888095238,10,1,9,1,0,0.91,11,0.25,0.45,0
rajendra gundawar,guguloth rajendra,0,0.363321115,0.5930497,0.575163399,15,0,0,0,0,0.65,8,0.333333333,0.25,0
eswaran subramanian,subramaniya achar,0,0.430593566,0.504704,0.734409553,13,0,2,0,0,0.72,9,0,0.28,0
shailendra kumar singh,shailender x,0,0.591668777,0.46717927,0.857575758,12,1,10,1,0,0.59,8,0,0.25,0
krutika karkhanis,kritika shetty,0,0.233255093,0.6958412,0.639005602,9,1,3,1,0,0.45,5,0,0.125,0
k dilip chakravarty,k d chakarwati,0,0.172267547,0.611847,0.837854251,9,1,5,0,0,0.67,5,0.2,0.16,0
sandip ray,sandeep das roy,0,0.18215448,0.36682045,0.877777778,7,1,5,1,0,0.64,4,0,0.105263158,0
sarkar dip,n c sarkar,0,0.690319824,0.6901306,0.657142857,8,0,0,0,0,0.75,6,0.25,0.333333333,0
nirmala subramanian,subramaniya achar,0,0.431428003,0.61416674,0.734409553,14,0,2,0,0,0.72,9,0,0.28,0
sandip das ray,sandeep das roy,1,0.393930391,0.6374197,0.931428571,3,1,1,1,1,0.83,7,0.2,0.388888889,1
rehan khan,reehon,0,0.113188862,0.39470512,0.688888889,6,1,4,0,0,0.5,2,0,0,0
mohammed rehan khan,reehon,0,0.082317703,0.36492246,0.565497076,15,0,13,0,0,0.32,2,0,0,0
alok agarwal,alok garg,0,0.551222189,0.61171824,0.886111111,4,1,3,1,0,0.76,5,0.333333333,0.307692308,0
anshul gupta,anshul bansal,0,0.609951207,0.6050656,0.856410256,5,1,1,1,0,0.67,7,0.333333333,0.333333333,0
rajiv ranjan sinha,r sinha,0,0.568094301,0.5096773,0.597354497,11,1,11,0,0,0.83,6,0.25,0.235294118,0
rehan ullah khan,reehon,0,0.084850238,0.2866733,0.638888889,12,1,10,0,0,0.36,2,0,0,0
ashis sarkar,r k sarkar,0,0.689093893,0.7285253,0.665873016,5,0,2,0,0,0.75,7,0.25,0.384615385,0
drdm bande,d m bande,1,0.530754206,0.5650715,0.869166667,2,1,1,0,0,0.84,7,0.25,0.5,1
ravindra p paranjpey,v n picchad,0,0.010066077,0.22852099,0.542424242,15,0,9,0,0,0.32,2,0,0,0
mohammed rehan sayeed,reehon,0,0.074125705,0.38158086,0.650793651,17,0,15,0,0,0.3,2,0,0,0
sanjeev singh yadav,prabhas chandra singh,0,0.224609589,0.6042092,0.613906561,18,0,2,0,0,0.55,6,0.2,0.125,0
rishikesan nair,a r shiraz,0,0.073685698,0.25600538,0.544444444,12,0,5,0,0,0.56,3,0,0.05,0
santosh kumar v,santosh x,0,0.77921966,0.6421952,0.884444444,7,1,6,1,0,0.88,8,0.25,0.428571429,0
shubhlal sah,subh lal,0,0.255841121,0.55508435,0.7875,6,1,4,1,0,0.6,3,0,0.142857143,0
santhosh babu,santosh x,0,0.337694615,0.30817544,0.875854701,5,1,4,1,0,0.64,4,0,0.285714286,0
shiraz ahamed sharief,a r shiraz,0,0.541984909,0.6194334,0.56031746,15,0,11,0,0,0.75,6,0.2,0.227272727,0
barla b sv satya kumar,s v kumar,0,0.334856735,0.56772554,0.535353535,14,0,13,0,0,0.71,6,0.142857143,0.173913043,0
jha shambhu kumar,capt s r jha,0,0.336940895,0.50747526,0.562091503,14,0,5,0,0,0.55,3,0.166666667,0.041666667,0
himanshu rai,j s rai,0,0.449515874,0.6473112,0.576984127,7,0,5,0,0,0.6,4,0.25,0.153846154,0
ambarkar venkatesh dattatray,v d ambarkar,0,0.549917634,0.573755,0.563492063,23,0,16,0,0,0.8,8,0.2,0.2,0
shrinivas ambarkar,v d ambarkar,0,0.682592999,0.6976528,0.662962963,8,0,6,0,0,0.8,9,0.25,0.368421053,0
h r s girn,jerry x,0,0,0.14803237,0.328571429,8,0,3,0,0,0.35,1,0,0,0
debashish roy,c roy,0,0.594902187,0.66704243,0,9,0,8,0,0,0.75,4,0.333333333,0.166666667,0
vagarali pradeep gurulingappa,pradeep wagarlae,0,0.284448401,0.5272484,0.643062397,19,0,13,0,0,0.61,8,0.25,0.242424242,0
vidyadhar kumbhar,r j kumbhare,0,0.528483353,0.69473535,0.545751634,10,0,5,0,0,0.62,8,0,0.333333333,0
pradeep gurulingappa vagarali,pradeep wagarlae,0,0.284448401,0.5293803,0.842980296,17,1,13,1,0,0.61,8,0.25,0.242424242,0
anirudha patil,robin patil,0,0.307520783,0.44065547,0.746272246,7,0,3,0,0,0.62,6,0.333333333,0.235294118,0
pradeep g vagarali,pradeep wagarlae,0,0.409434313,0.5504727,0.901984127,6,1,2,1,0,0.76,8,0.25,0.363636364,0
neeraj dwivedi,a d dwivedi,0,0.763257149,0.6266041,0.709235209,6,0,3,0,0,0.78,8,0.25,0.4,0
muffazal lakdawala,mufazzal sr,0,0.311738105,0.6124335,0.806734007,11,1,7,1,0,0.48,4,0,0.19047619,0
irfan khan,irfan x,0,0.842129105,0.60249853,0.891428571,4,1,3,1,0,0.83,6,0.333333333,0.444444444,0
sahranbasappa dama,s m dama,0,0.387528712,0.64118457,0.513888889,12,1,10,0,0,0.67,5,0.25,0.157894737,0
dama s m solapur maharashtra,s m dama,0,0.425723919,0.6285995,0.636904762,21,0,20,0,0,1,4,0.6,0.142857143,1
v c subhash,subash v c,1,0.524491466,0.6557907,0.518181818,9,0,1,0,0,0.95,3,0.5,0.214285714,1
senthil kumar ganapathi,g senthilkumar,0,0.561638888,0.5830199,0.728698837,13,0,9,0,0,0.54,7,0,0.333333333,0
rajan kumar sinha,a k rajan,0,0.526064864,0.72447616,0.619825708,12,0,8,0,0,0.71,5,0.2,0.157894737,0
nikhil teja,nikhil sharan,0,0.620491202,0.6397015,0.868531469,5,1,2,0,0,0.71,7,0.333333333,0.333333333,0
santhanagopal l,a deniraja,0,0,0.3719452,0.555555556,12,0,5,0,0,0.32,1,0,0,0
kiran kumar kanar,k sharan,0,0.198269323,0.30800998,0.589869281,11,1,9,0,0,0.4,3,0,0.05,0
senthil kumar,g senthilkumar,0,0.735086926,0.6241996,0.873626374,3,0,1,0,0,0.59,7,0,0.533333333,0
sanjay gupta,fermin iswary,0,0.010327449,0.028140413,0.493589744,12,0,1,0,0,0.32,1,0,0,0
ramesh radhakrishnan,r ramesh,0,0.547216995,0.5005071,0.675,14,1,12,0,0,0.86,6,0.333333333,0.263157895,0
tomar atul singh,i s tomar,0,0.620047817,0.5483378,0.595568783,14,0,7,0,0,0.71,5,0.2,0.166666667,0
col subhasachandra shirbur surgeon doctor in bagalkot,s n shirbur,0,0.419033188,0.24302322,0.614636935,43,0,42,0,0,0.78,8,0.111111111,0.113207547,0
kodwate narendra tukaram,n t kodwate,0,0.667383457,0.6553211,0.608585859,19,0,13,0,0,0.78,7,0.2,0.192307692,0
sivaram ganesamoni,s ganesemony,0,0.25265605,0.5098468,0.696296296,8,1,6,0,0,0.67,6,0,0.238095238,0
drs ganesamoni,s ganesemony,0,0.266933992,0.5269754,0.849206349,4,0,2,0,0,0.62,7,0,0.375,0
shobha c,s n shirbur,0,0.032057877,0.3483281,0.438131313,9,1,3,0,0,0.42,2,0,0,0
tarun kumar baid,bimal kr baid,0,0.452300287,0.5709733,0.698076923,8,0,3,0,0,0.62,6,0.2,0.19047619,0
rawtani gyan chand,g l rawtani,0,0.711480205,0.6712078,0.624579125,14,0,7,0,0,0.78,7,0.2,0.25,1
aksingh,a k singh,1,0.482155946,0.41544706,0.933333333,2,1,2,0,0,0.88,5,0,0.333333333,1
aamir bin sabir,ameer ban,0,0.042669593,0.24064697,0.652910053,10,1,6,1,0,0.5,3,0,0.052631579,0
sanjay debaksi,s b dey,0,0.102366949,0.39147854,0.557142857,10,1,7,0,0,0.38,3,0,0.0625,0
sanjay de bakshi,s b dey,0,0.13716464,0.3605081,0.688492063,12,1,9,0,0,0.52,3,0,0.055555556,0
ssrinivas,sheeja srinivas,0,0.487999889,0.4396358,0.78,6,1,6,0,0,0.75,8,0,0.428571429,0
pravin s narkhede,pravin s kadadhekar,0,0.290837613,0.6162011,0.907698658,7,1,2,1,0,0.67,9,0.5,0.28,0
venkata ranga reddy gastroenterologist,sv ranga reddy,0,0.387388493,0.49321505,0.654328128,26,0,24,0,0,0.88,12,0.4,0.27027027,0
m a ziaullah khan,a zialluah,0,0.310283761,0.47791803,0.796078431,9,0,7,0,0,0.67,5,0.2,0.15,0
samir mukherjee general surgeon,samir mukherje,0,0.586179573,0.45659265,0.890322581,17,1,17,1,0,0.62,14,0.2,0.413793103,0
girish kullolli,gireesh kollulli,0,0.359820491,0.5319926,0.938611111,4,1,1,1,1,0.77,4,0,0.285714286,0
devendra k gupta,shruti devendra,0,0.575231597,0.6628722,0.572685185,15,0,1,0,0,0.71,8,0.25,0.285714286,0
kullolli girish kanthirav,gireesh kollulli,0,0.307459024,0.56072384,0.645,19,0,9,0,0,0.59,4,0,0.193548387,0
lalmani pal,l m pal,0,0.428439029,0.54482746,0.68975469,5,1,4,0,0,0.67,4,0.25,0.166666667,0
kuladeep l,kuldeep mall,1,0.350498902,0.36834693,0.918333333,4,1,2,1,0,0.82,5,0,0.285714286,1
d k pal,l m pal,0,0.729359905,0.63897645,0.80952381,2,0,0,0,0,0.71,4,0.2,0.25,0
kuldeep rai,kuldeep mall,0,0.72068622,0.5684049,0.913636364,3,1,1,1,0,0.78,8,0.333333333,0.461538462,0
balabhadra samantaray,a samantrai,0,0.270122879,0.5202408,0.661760462,11,0,10,0,0,0.62,8,0,0.272727273,0
samantaray surama,a samantrai,0,0.349494641,0.591822,0.671420083,11,0,6,0,0,0.57,6,0,0.210526316,0
s mitra general physician,s k mitra,0,0.371000746,0.6290544,0.611296296,20,1,16,0,0,0.88,6,0.4,0.153846154,0
mehraj ud din bhat,mehraj mir,0,0.589065253,0.59546393,0.848888889,10,1,8,0,0,0.75,7,0.2,0.263157895,0
devisingh choudhary,devi singh chaudhary,1,0.602101503,0.528539,0.913918129,2,1,1,1,0,0.92,8,0,0.52173913,1
samiran biswas,syamal kr biswas,0,0.453563993,0.6900018,0.857142857,6,1,2,0,0,0.73,7,0.25,0.238095238,0
sselvarajan,s selvarajan,1,0.741453919,0.5888852,0.975,1,1,1,0,0,0.96,10,0,0.727272727,1
manotosh biswas,syamal kr biswas,0,0.395310718,0.5759778,0.730555556,8,0,1,0,0,0.58,7,0.25,0.227272727,0
shambhavi seth,sambhavi sheth,0,0.665764636,0.6457541,0.892857143,2,1,0,1,0,0.57,9,0,0.5,0
salphale pankaj sharad,s v salphale,0,0.741755416,0.57655895,0.571548822,16,1,10,0,0,0.8,8,0.2,0.25,0
amandeep singh sandhu,armanpreet singh,0,0.223419368,0.6936945,0.806387363,11,1,5,0,0,0.65,6,0.25,0.185185185,0
venkateshwara mahadevan,mahedavan d s a,0,0.154771141,0.36465478,0.585682916,18,0,8,0,0,0.47,3,0,0.0625,0
sai subrahmanyam guduru,subhramanyam reddy,0,0.329511367,0.5968534,0.67294686,11,1,5,0,0,0.63,7,0,0.193548387,0
abdul malik,f r malik,0,0.55701823,0.7485423,0.626262626,5,0,2,0,0,0.71,6,0.25,0.333333333,0
mahadevansa,mahedavan d s a,0,0.144267829,0.38504037,0.916565657,6,1,4,1,0,0.62,3,0,0.1,0
thanniru prasad,ch rattaiah,0,0.004448561,0.33520174,0.628535354,11,0,4,0,0,0.38,2,0,0,0
dharmendra narayan singh,d n singh,0,0.403145767,0.61612475,0.521296296,15,1,15,0,0,0.71,7,0.2,0.208333333,0
jagatap r v,vijay b jagtap,0,0.391687471,0.47617936,0.537229437,12,0,3,0,0,0.64,3,0,0.105263158,0
m l v prasad,y r k prasad,0,0.729235939,0.7060658,0.796296296,3,0,0,0,0,0.75,7,0.142857143,0.333333333,0
d b poornima chowdary,basavaiah chowdary,0,0.446237879,0.6566419,0.607142857,10,0,3,0,0,0.62,9,0.2,0.25,0
pethkar miss truipti vilasrao,rohit pethkar,0,0.419834266,0.5741099,0.590306245,23,0,16,0,0,0.7,7,0.2,0.151515152,0
mallikarjuna reddy mandapati,g mallikarjun,0,0.640271735,0.5973371,0.644993895,19,0,15,0,0,0.54,11,0,0.37037037,0
harsha mandalapu,somavarapu harsha,0,0.474456365,0.67015064,0.651960784,15,0,1,0,0,0.79,6,0.333333333,0.208333333,0
peter kharduit,p kharnary,0,0.145472851,0.34681863,0.638095238,8,1,4,0,0,0.5,5,0,0.176470588,0
s harsha vardhan general surgeon,somavarapu harsha,0,0.234156299,0.5483566,0.621087858,24,1,15,0,0,0.53,7,0.166666667,0.153846154,0
g dsharma,g s sharma,0,0.570357103,0.4600829,0.917037037,2,1,1,0,0,0.84,6,0.25,0.363636364,1
mohammad mudassir khalid,mohd mudassar,0,0.436318472,0.5779884,0.821260684,12,1,11,0,0,0.65,8,0,0.269230769,0
cpdubey,c p dubey,1,0.523551846,0.48962724,0.933333333,2,1,2,1,0,0.75,5,0,0.333333333,1
bibhu priyo das,u k das,0,0.370862704,0.5576644,0.473015873,9,0,8,0,0,0.6,4,0.2,0.125,0
parashar navneet,navneet nagar,0,0.716406709,0.42549607,0.515796703,12,0,3,0,0,0.76,7,0.333333333,0.315789474,0
sudip roy,sudip pal,0,0.612588875,0.5359888,0.866666667,3,1,0,0,0,0.71,6,0.333333333,0.4,0
anupam goel,anupam gaba,0,0.552474338,0.6493696,0.890909091,3,1,0,1,0,0.73,8,0.333333333,0.5,0
pavan kumar c g,pawan kumar koliwad,0,0.213844299,0.654919,0.816608187,8,1,4,0,0,0.65,9,0.166666667,0.304347826,0
kamran khan,g t nikam,0,0.081554234,0.2780549,0.519360269,8,0,2,0,0,0.4,3,0,0.066666667,0
pashok,v p ashok,0,0.643911504,0.2435649,0.888888889,3,0,3,0,0,0.67,5,0,0.375,0
minhaj mobin ahmed shaikh junaid,momin zakir,0,0.076502306,0.30626678,0.551662458,24,1,21,0,0,0.33,3,0,0.054054054,0
avaradha chary,charry ncr,0,0.236634534,0.380538,0.620634921,10,0,4,0,0,0.42,4,0,0.111111111,0
g m jagadeesan,n i jagadeshwar,0,0.472253158,0.5907558,0.726984127,6,0,1,0,0,0.69,7,0,0.25,0
mohan charry,charry ncr,0,0.751904543,0.45709944,0.713492063,9,0,2,0,0,0.75,6,0.333333333,0.285714286,0
chary a k,charry ncr,0,0.375811909,0.56022435,0.853333333,4,1,1,0,0,0.63,4,0,0.25,0
anowar ali mallick,a k mallick,0,0.663023569,0.6128587,0.749393939,8,1,7,0,0,0.78,8,0.2,0.315789474,0
vijay kullolli,shivgonda a kullolli,0,0.611850528,0.4497086,0.707936508,9,0,6,0,0,0.73,9,0.25,0.304347826,0
amarjot singh,amarjot x,0,0.84057015,0.6051974,0.900854701,5,1,4,1,0,0.88,8,0.333333333,0.5,0
b m l kapoor,william kapoor,0,0.585095256,0.758308,0.723544974,7,0,2,0,0,0.69,7,0.2,0.294117647,0
nageswara rao kannikanti,v nageshwarrao,0,0.367337342,0.487252,0.646825397,16,0,10,0,0,0.58,5,0,0.178571429,0
moolchand prajapat,mulchand prajapati,0,0.578460367,0.62934446,0.933333333,3,1,0,1,1,0.89,15,0,0.684210526,0
jitendra singh,jitender x,0,0.5805494,0.58199334,0.874285714,7,1,4,1,0,0.67,6,0,0.25,0
ram kumar,b ramkumar,0,0.462182942,0.65470725,0.892592593,3,0,1,0,0,0.53,5,0,0.363636364,0
manmohan singh deol,m s deol,0,0.595728562,0.45264962,0.486842105,11,1,11,0,0,0.67,5,0.2,0.15,0
simranpal singh deol,m s deol,0,0.502010554,0.46058324,0.4,12,0,12,0,0,0.67,5,0.2,0.142857143,0
jitendra pratap singh,jitender x,0,0.463247361,0.5414703,0.836190476,13,1,11,1,0,0.52,6,0,0.173913043,0
jitendra agrawal,jitender x,0,0.49752446,0.5086349,0.86,9,1,6,1,0,0.54,6,0,0.222222222,0
nsiddhartha,sidhartha,0,0.521821485,0.50210506,0.939393939,2,0,2,0,0,0.9,7,0,0.6,0
ngladani,setu ladani,0,0.41928487,0.46909073,0.765151515,5,0,3,0,0,0.63,6,0,0.363636364,0
vikrant bhagvat,k bhagat,0,0.288592802,0.55219793,0.719444444,7,0,7,0,0,0.7,5,0,0.1875,0
suresh sindal,s c sindal,0,0.674571443,0.64001477,0.787115385,5,1,3,0,0,0.75,7,0.25,0.357142857,0
hemal bhagat,k bhagat,0,0.715026679,0.55735147,0.676587302,5,0,4,0,0,0.86,7,0.333333333,0.454545455,0
nprathyusha,prachiti,0,0.035533825,0.3620543,0.626515152,7,0,3,0,0,0.42,3,0,0.071428571,0
patnaik abhinav,avinab patnayak,0,0.363447907,0.7910385,0.622222222,11,0,0,0,0,0.73,5,0,0.181818182,0
p prapul reddy,prachiti,0,0.08793339,0.55531156,0.529761905,11,1,6,0,0,0.27,3,0,0.058823529,0
jyoti prasad kalita,j k kolita,0,0.268834018,0.3649053,0.583040936,11,1,9,0,0,0.48,4,0,0.086956522,0
gejo george cedric,gejoe x,0,0.352063676,0.5672219,0.674603175,12,1,11,0,0,0.4,4,0,0.105263158,0
karthik mikkineni,karthika g s r s,0,0.364528884,0.61293596,0.656862745,10,1,1,1,0,0.52,7,0,0.208333333,0
setu hospital,setu ladani,0,0.393506302,0.46040446,0.677322677,8,1,2,0,0,0.53,5,0.333333333,0.176470588,0
manjunath reddy g,manjunath a,0,0.784897432,0.6251814,0.899465241,7,1,6,1,0,0.9,10,0.25,0.5,0
birendra kumar,birendra kr santra,0,0.688515008,0.64011085,0.888095238,6,1,4,1,0,0.75,10,0.25,0.4,0
birendra kumar barnwal,birendra kr santra,0,0.492876177,0.5464711,0.898232323,8,1,4,1,0,0.65,10,0.2,0.285714286,0
pratik shah,prateek prajapati,0,0.277681059,0.6149999,0.682709447,10,1,6,1,0,0.5,4,0,0.15,0
ananda kumar mahapatra,mohan mahapathro,0,0.393117921,0.6703178,0.598484848,13,0,6,0,0,0.47,8,0,0.214285714,0
pratik p singh,prateek prajapati,0,0.273560658,0.60440767,0.680672269,10,1,3,1,0,0.45,4,0,0.181818182,0
bhagat keshaorao pandurang surgeon doctor in thane,k bhagat,0,0.332980651,0.4623431,0.595,45,0,42,0,0,0.86,6,0.125,0.08,0
harish saidu,saidu,1,0.79343745,0.6299634,0.505555556,7,0,7,0,0,1,5,0.5,0.3,1
bipin kumar gupta,archla x,0,0.008063896,0.1381352,0.289215686,15,0,9,0,0,0.16,2,0,0,0
prashant kumar gupta,kumar aniket,0,0.209766261,0.6125821,0.585185185,15,0,8,0,0,0.59,6,0.25,0.166666667,0
dharma kumar k g,darma dev,0,0.284649441,0.38217026,0.680555556,10,1,7,0,0,0.48,5,0,0.166666667,0
kraja mohan,a ekanathan,0,0.089062856,0.4817146,0.614718615,7,0,0,0,0,0.55,3,0,0.058823529,0
anish kumar gupta,anish aggarwal,0,0.338846487,0.52983034,0.840504202,9,1,3,1,0,0.58,6,0.25,0.173913043,0
das birendra manohar,b n das,0,0.384394765,0.45519128,0.64047619,16,0,13,0,0,0.6,3,0.2,0.045454545,0
shakir tabrez,s tabrez,1,0.782787883,0.53100896,0.809615385,5,1,5,0,0,0.86,7,0.333333333,0.416666667,1
anand mohan soren,a m soren,0,0.707320645,0.5502104,0.483224401,8,1,8,0,0,0.71,6,0.2,0.222222222,0
harinder singh bedi,h s bedi,0,0.585401742,0.50072587,0.57748538,11,1,11,0,0,0.67,5,0.2,0.15,0
saukat hussain,sankat a hussain,1,0.664128251,0.64412093,0.88992674,3,1,2,0,0,0.87,8,0.25,0.444444444,1
debojyoti sarkar,suvalina sarkar,0,0.264698043,0.6617434,0.552777778,9,0,1,0,0,0.57,7,0.333333333,0.227272727,0
jitena narayan senapati,natwar senapati,0,0.528628217,0.6052464,0.728295376,10,0,8,0,0,0.7,9,0.25,0.269230769,0
sheikh nawaz,seikh nabinwaz,1,0.425816403,0.6282954,0.856168831,4,1,2,0,0,0.85,7,0,0.375,1
drbb sinha,b sinha,0,0.552051544,0.59677553,0.9,3,0,3,0,0,0.83,7,0.333333333,0.625,0
abhijit mohapatra,abhijeet cr,0,0.296129981,0.49410015,0.839572193,10,1,6,1,0,0.57,5,0,0.142857143,0
sunit kumar singh,spoorthy n k,0,0.014047865,0.28346318,0.569794585,14,1,5,0,0,0.41,2,0,0,0
manavadariya nishant bharatbhai,c v manavadria,0,0.279175638,0.43212306,0.622608574,24,0,17,0,0,0.53,7,0,0.142857143,0
gautham s l,gautam carmoli,0,0.276482325,0.5865824,0.85974026,7,1,3,1,0,0.48,4,0,0.166666667,0
tanmaya panda,botla chanakya,0,0.041353735,0.48164585,0.631868132,11,0,1,0,0,0.52,2,0,0,0
ankur saxena,ankur x,0,0.585415701,0.6423956,0.916666667,5,1,5,1,0,0.83,6,0.333333333,0.363636364,0
brijveer singh,s b singh,0,0.377184802,0.6563079,0.711640212,8,0,5,0,0,0.71,6,0.25,0.266666667,0
saji mathew,saji i k,0,0.509605744,0.61340547,0.693181818,6,1,3,0,0,0.67,5,0.25,0.25,0
kraja mohan,p rajapandi,0,0.1348059,0.51175964,0.662337662,8,0,0,0,0,0.55,4,0,0.125,0
siddhartha n chakravarthy,d s chakravarthy,0,0.758183144,0.6403477,0.734166667,10,0,9,0,0,0.86,13,0.2,0.458333333,1
santhosh kishore naik,santosh naik bukka,0,0.369746238,0.56664455,0.831746032,12,1,3,1,0,0.72,5,0.2,0.25,0
drsubhrajyoti das,s j das,0,0.315632464,0.55294335,0.43557423,11,0,10,0,0,0.6,4,0.25,0.111111111,0
sakshi maurya,kumari sakshi,0,0.545482306,0.7765285,0.597069597,10,0,0,0,0,0.77,6,0.333333333,0.222222222,0
g soundara rajan,n soundharrajan,0,0.567256068,0.64115685,0.790491453,4,0,1,0,0,0.65,6,0,0.35,0
dheeraj kanekanti,sheeraj,0,0.444099661,0.35047874,0.736694678,11,0,10,0,0,0.5,6,0,0.266666667,0
naidu manner vinay kumar,vinayaka kumar,0,0.389628964,0.67503357,0.596500722,15,0,10,0,0,0.58,6,0.2,0.259259259,0
ravikiran chetaraju,ravi kiran,0,0.453645961,0.5860745,0.845263158,11,1,9,1,0,0.48,5,0,0.25,0
dheeraj karanth,sheeraj,0,0.55181362,0.38119873,0.752380952,9,0,8,0,0,0.55,6,0,0.285714286,0
dheeraj batheja,sheeraj,0,0.459058108,0.33972234,0.752380952,9,0,8,0,0,0.55,6,0,0.285714286,0
sourabh tilwankar,j p mahatma,0,0,0.45714256,0.521687463,14,0,6,0,0,0.29,1,0,0,0
dheeraj shyam,sheeraj,0,0.581321837,0.46981758,0.772893773,7,0,6,0,0,0.6,6,0,0.333333333,0
dinesh singhal,manchikanti dinesh,0,0.402475715,0.5515232,0.505291005,15,0,4,0,0,0.62,6,0.333333333,0.166666667,0
